epoch,spike_count,isi_mean,isi_std,v_var,dvdt_max,label
0,5,0.234375,0.1993527429289129,3.1406181537649023e-09,0.009302271062271,0
1,2,1.2265625,0.0,6.913532369856774e-09,0.0068016605616605,0
2,6,0.359375,0.2374023236643862,3.5424933396545113e-09,0.0091022222222222,0
3,19,0.0462239583333333,0.0417124179157326,6.387198681795751e-09,0.0316077167277167,0
4,40,0.0444711538461538,0.058333525948893,1.8067153375396563e-08,0.0956233455433455,0
5,30,0.0682920258620689,0.1362102639669947,8.477633678389171e-09,0.0466113797313797,0
6,5,0.2470703125,0.2211326537934424,1.7166933900450383e-09,0.0123030036630036,0
7,5,0.2607421875,0.1942230356714908,1.1086177935863146e-08,0.0082020024420024,0
8,12,0.1221590909090909,0.2393534401838978,6.4206586040892364e-09,0.0298072771672771,0
9,9,0.2138671875,0.2572625971342848,7.866242064982905e-09,0.02240547008547,0
10,6,0.30859375,0.3894278530541633,2.380654358910998e-09,0.0151036874236874,0
11,10,0.0203993055555555,0.0156008687114682,7.687677689967066e-09,0.0290070818070818,0
12,3,0.8203125,0.078125,3.50751780382189e-09,0.0106025885225885,0
13,6,0.22890625,0.2470356478893785,8.735739931724936e-10,0.0158038583638583,0
14,10,0.1961805555555555,0.2410280952576085,2.0889350416914522e-08,0.0130031746031746,0
15,4,0.1354166666666666,0.1668395099849369,1.5880001129314315e-09,0.0139033943833943,0
16,7,0.2180989583333333,0.1007937821934609,3.7415726258589116e-10,0.0146035653235653,0
17,6,0.18515625,0.1390010397892764,7.424542137354063e-10,0.0117028571428571,0
18,5,0.423828125,0.487487636311569,1.0981167798589961e-08,0.0108026373626373,0
19,5,0.3466796875,0.3113550191293079,6.610420192279739e-10,0.0089021733821733,0
20,7,0.2141927083333333,0.1964344943035727,1.5834359569764787e-09,0.0107026129426129,0
21,11,0.17421875,0.1711383360855334,3.015199189334949e-09,0.0134032722832722,0
22,6,0.21171875,0.2535081012943669,2.544517418927904e-09,0.0079019291819291,0
23,8,0.1674107142857142,0.1519272088655821,7.256383681533921e-09,0.009302271062271,0
24,9,0.21435546875,0.2162192959018415,2.222561630907841e-09,0.0058014163614163,0
25,5,0.3798828125,0.224148218844653,8.874396137721745e-09,0.0206050305250305,0
26,4,0.4583333333333333,0.3572362384119537,1.407165001708414e-08,0.0106025885225885,0
27,4,0.2291666666666666,0.288187254135537,1.4876805859315016e-08,0.009302271062271,0
28,5,0.453125,0.3827028701439359,1.5535277365349767e-08,0.0099024175824175,0
29,8,0.2494419642857142,0.1935796856765519,1.8655606089342923e-09,0.0061014896214896,0
30,5,0.4638671875,0.4346690547932119,4.286290795082004e-09,0.0097023687423687,0
31,9,0.1962890625,0.1984681593871605,1.1467283792215111e-08,0.0092022466422466,0
32,7,0.2649739583333333,0.4012260508561647,1.3083055024791802e-08,0.0101024664224664,0
33,6,0.2875,0.3084364709962571,2.0109770299611193e-08,0.0075018315018315,0
34,8,0.0686383928571428,0.092694418718063,8.721999152362018e-09,0.0110026862026862,0
35,7,0.2877604166666667,0.3018924504675556,7.437920751113286e-09,0.0090021978021978,0
36,2,1.19921875,0.0,1.7325365738970362e-08,0.0126030769230769,0
37,3,0.203125,0.1953125,6.8773732745344475e-09,0.0097023687423687,0
38,6,0.26484375,0.2914533725304529,1.8943154532454555e-09,0.0066016117216117,0
39,3,0.73046875,0.4609375,1.0246528578524058e-08,0.0095023199023199,0
40,8,0.2566964285714285,0.3544260504747105,5.041530361014393e-09,0.0090021978021978,0
41,9,0.1396484375,0.2083788504150384,1.2419842676825277e-08,0.0092022466422466,0
42,7,0.1588541666666666,0.1772603664717564,1.2474625218129111e-08,0.0079019291819291,0
43,6,0.27890625,0.2256392827889239,2.3747278627372487e-09,0.0103025152625152,0
44,3,0.18359375,0.00390625,4.0717901919424354e-09,0.0146035653235653,0
